timestamp,day of week,road segment id,x-coord,y-coord,vehicles,lane count,heavy vehicle pct,traffic density,rain mm,temperature C,visibility m,road wetness index,ev percentage,fuel mix index,avg speed kmph,gore point,distance to gore m,CO2 emission,NOx,PM2.5,congestion
2026-01-06 23:00:00,Tuesday,C1,69,16,unknown,3,0.21,29.0416666666667,12.0,30,760.0,0.4,0.55,0.52,60.2007990252969,0,192,,0.677567730031248,0.104371717785359,Low
2026-02-11 02:00:00,Wednesday,C2,91,85,1418,3,0.36,123.98,11.0,21,1000.0,0.16,0.25,0.4,36.71,1,105,339.22,0.51,0.07,High
2026-02-26 16:00:00,Thursday,C2,34,27,1486,3,0.18,25.71,20.0,27,0.67,0.46,0.65,0.85,22.33,0,259,173.84,1.19,0.15,Low
2026-02-27 00:00:00,Friday,D2,50,11,995,3,0.34,57.05,27.0,34,960.0,0.15,0.45,0.67,102.27,1,337,110.36,0.39,0.07,Medium
2026-01-30 10:00:00,Friday,C1,36,63,3005,2,0.39,37.35,9.0,32,720.0,0.73,0.41,0.35,59.17,1,379,247.29,0.78,0.09,Low
2026-02-28 11:00:00,Saturday,B1,47,69,2643,4,0.28,125.81,20.0,26,,0.24,0.09,0.75,98.47,0,356,262.67,1.0,0.15,High
2026-01-31 17:00:00,Saturday,C1,13,93,1863,4,0.29,86.74,24.0,30,900.0,0.34,0.31,0.5,30.92,0,165,90.34,0.46,0.08,Medium
2026-03-11 17:00:00,Wednesday,A2,100,21,642,2,0.38,79.1,29.0,30,0.63,0.59,0.55,0.43,84.72,1,435,314.23,1.06,0.14,Medium
2026-02-01 23:00:00,Sunday,C2,58,59,2267,4,0.14,,15.0,25,700.0,0.5,0.23,0.51,32.4965126923332,0,273,305.165632279872,0.92185685752799,0.114783655498481,High
2026-01-24 20:00:00,Saturday,D1,95,6,2314,2,0.16,62.75,28.0,27,700.0,0.17,0.23,0.81,84.0,0,237,363.01,0.72,0.13,Medium
2026-03-04 12:00:00,Wednesday,A1,18,91,575,3,0.38,88.31,16.0,32,0.75,0.15,0.58,0.38,68.09,0,254,172.8,0.6,0.05,Medium
2026-02-08 12:00:00,Sunday,D1,26,52,1499,4,0.4,68.36,22.0,33,0.47,0.55,0.62,0.38,36.35,0,307,344.36,0.34,0.14,Medium
2026-01-09 00:00:00,Friday,B2,99,93,345,4,0.2,28.45,24.0,35,0.79,0.68,0.09,0.79,36.33,1,224,170.77,1.02,0.15,Low
2026-02-09 21:00:00,Monday,B1,71,89,618,2,0.29,24.72,12.0,38,760.0,0.4,0.26,0.35,65.2624553019086,0,29,107.221192820201,,0.0680968784105564,Low
2026-02-04 13:00:00,Wednesday,B2,74,57,1731,5,0.38,74.69,1.0,18,440.0,0.47,0.33,0.35,99.26,0,194,273.75,0.57,0.09,Medium
2026-01-03 14:00:00,Saturday,B1,49,78,825,4,0.29,21.56,2.0,39,900.0,0.2,0.45,0.57,41.17,1,414,372.99,,0.16,Low
2026-01-04 03:00:00,Sunday,D2,68,1,2379,3,0.16,74.04,29.0,30,0.74,0.25,0.41,0.47,89.03,0,356,392.8,1.07,0.04,Medium
2026-01-30 14:00:00,Friday,C1,54,89,346,2,0.22,61.0,6.0,38,620.0,0.04,0.14,0.4,28.15,0,165,165.6,0.8,0.16,Medium
2026-01-10 14:00:00,Saturday,C2,85,7,,3,0.3,76.75,27.0,22,460.0,0.9,0.41,0.52,27.826728440039,0,269,252.582406306805,0.771059377961275,0.104899901156488,High
2026-01-25 00:00:00,Sunday,B1,38,74,2323,4,0.28,92.92,9.0,39,0.82,0.3,0.54,0.48,,0,197,196.451096320345,,,High
2026-01-29 22:00:00,Thursday,A1,9,56,751,4,0.24,101.01,16.0,39,520.0,0.58,0.35,0.55,106.7,0,339,232.13,0.38,0.09,High
2026-01-16 06:00:00,Friday,C2,42,2,2792,4,0.35,18.75,6.0,30,540.0,0.18,0.11,0.6,33.38,0,321,147.57,1.2,0.13,Low
2026-01-27 08:00:00,Tuesday,B1,51,88,2364,4,0.29,92.09,23.0,21,0.74,0.3,0.56,0.66,21.48,1,278,253.98,1.04,0.05,High
2026-01-05 01:00:00,Monday,B2,92,38,417,3,0.19,35.01,3.0,31,820.0,0.66,0.49,0.74,19.1,1,327,334.33,0.52,0.17,Low
2026-03-14 18:00:00,Saturday,C2,97,18,1884,2,0.14,56.56,,31,980.0,0.52,0.6,0.76,21.03,0,32,140.17,0.48,0.17,Medium
2026-02-06 09:00:00,Friday,B2,98,29,1428,2,0.27,43.2727272727273,26.0,27,480.0,0.87,0.27,0.46,45.4387751150718,0,319,223.702951024522,0.730157770043603,0.110628272903222,Medium
2026-02-09 08:00:00,Monday,C2,65,69,2617,5,0.15,42.11,24.0,27,0.63,0.14,0.37,0.45,28.98,0,296,402.19,0.72,0.11,Low
2026-03-11 16:00:00,Wednesday,C2,27,88,1281,5,0.18,118.98,1.0,20,0.77,0.0,0.51,0.65,41.2,1,282,321.4,0.82,0.05,High
2026-01-27 22:00:00,Tuesday,A1,59,41,2713,3,0.28,121.79,12.0,18,0.54,0.98,0.61,0.32,46.41,0,346,387.86,0.82,0.12,High
2026-02-23 03:00:00,Monday,C2,1,23,1570,4,0.12,96.64,6.0,26,660.0,0.48,0.16,0.8,37.87,0,153,242.06,0.51,0.07,High
2026-02-09 19:00:00,Monday,A1,80,93,1517,4,0.11,118.18,21.0,25,0.4,0.81,0.51,0.37,37.45,0,288,267.77,0.3,0.15,High
2026-02-16 16:00:00,Monday,A1,80,76,2337,3,0.36,,18.0,35,0.63,0.63,0.3,0.32,110.13,1,287,223.94,0.47,0.04,High
2026-01-17 05:00:00,Saturday,C2,64,80,2608,5,0.38,128.16,1.0,22,0.58,0.47,0.15,0.45,,1,90,419.86,0.71,0.11,High
2026-01-17 11:00:00,Saturday,B1,13,2,1112,2,0.23,17.96,30.0,33,820.0,0.13,0.41,0.65,46.14,1,460,387.47,0.4,0.12,Low
2026-01-05 01:00:00,Monday,B1,87,48,1034,2,0.21,16.15,13.0,24,440.0,0.08,0.23,0.75,27.31,1,105,289.26,0.57,0.05,Low
2026-02-13 02:00:00,Friday,D2,20,95,2719,5,0.11,101.81,6.0,39,940.0,0.32,0.35,0.64,98.82,0,190,133.41,0.36,0.15,High
