Vehicle_ID,Time_sec,X_coord,Y_coord,Length_m,Width_m,Class,Gore_X,Gore_Y
1,0,38.94,9.51,4.0,1.8,Car,50.0,5.0
1,1,40.18,9.51,4.0,1.8,Car,50.0,5.0
1,2,40.58,9.51,4.0,1.8,Car,50.0,5.0
1,3,40.98,9.51,4.0,1.8,Car,50.0,5.0
1,4,41.19,9.51,4.0,1.8,Car,50.0,5.0
1,5,42.93,9.51,4.0,1.8,Car,50.0,5.0
1,6,44.17,9.51,4.0,1.8,Car,50.0,5.0
1,7,45.62,9.51,4.0,1.8,Car,50.0,5.0
1,8,45.76,9.51,4.0,1.8,Car,50.0,5.0
1,9,47.7,9.51,4.0,1.8,Car,50.0,5.0
1,10,49.38,9.51,4.0,1.8,Car,50.0,5.0
1,11,49.89,9.51,4.0,1.8,Car,50.0,5.0
1,12,50.33,9.51,4.0,1.8,Car,50.0,5.0
1,13,50.78,9.51,4.0,1.8,Car,50.0,5.0
1,14,51.46,9.51,4.0,1.8,Car,50.0,5.0
1,15,52.55,9.51,4.0,1.8,Car,50.0,5.0
1,16,53.48,9.51,4.0,1.8,Car,50.0,5.0
1,17,54.13,9.51,4.0,1.8,Car,50.0,5.0
1,18,55.39,9.51,4.0,1.8,Car,50.0,5.0
1,19,55.76,9.51,4.0,1.8,Car,50.0,5.0
1,20,56.41,9.51,4.0,1.8,Car,50.0,5.0
1,21,57.21,9.51,4.0,1.8,Car,50.0,5.0
1,22,58.17,9.51,4.0,1.8,Car,50.0,5.0
1,23,59.77,9.51,4.0,1.8,Car,50.0,5.0
1,24,60.25,9.51,4.0,1.8,Car,50.0,5.0
1,25,61.32,9.51,4.0,1.8,Car,50.0,5.0
1,26,62.55,9.51,4.0,1.8,Car,50.0,5.0
1,27,62.74,9.51,4.0,1.8,Car,50.0,5.0
1,28,63.99,9.51,4.0,1.8,Car,50.0,5.0
1,29,64.41,9.51,4.0,1.8,Car,50.0,5.0
1,30,64.64,9.51,4.0,1.8,Car,50.0,5.0
1,31,66.54,9.51,4.0,1.8,Car,50.0,5.0
1,32,81.2,9.51,4.0,1.8,Car,50.0,5.0
1,33,94.28,9.51,4.0,1.8,Car,50.0,5.0
1,34,102.33,9.51,4.0,1.8,Car,50.0,5.0
1,35,108.3,9.51,4.0,1.8,Car,50.0,5.0
1,36,120.15,9.51,4.0,1.8,Car,50.0,5.0
1,37,129.55,9.51,4.0,1.8,Car,50.0,5.0
1,38,135.77,9.51,4.0,1.8,Car,50.0,5.0
1,39,145.72,9.51,4.0,1.8,Car,50.0,5.0
1,40,151.06,9.51,4.0,1.8,Car,50.0,5.0
1,41,165.16,9.51,4.0,1.8,Car,50.0,5.0
1,42,172.74,9.51,4.0,1.8,Car,50.0,5.0
1,43,184.37,9.51,4.0,1.8,Car,50.0,5.0
1,44,192.49,9.51,4.0,1.8,Car,50.0,5.0
1,45,202.69,9.51,4.0,1.8,Car,50.0,5.0
1,46,213.16,9.51,4.0,1.8,Car,50.0,5.0
1,47,220.0,9.51,4.0,1.8,Car,50.0,5.0
1,48,234.7,9.51,4.0,1.8,Car,50.0,5.0
1,49,247.45,9.51,4.0,1.8,Car,50.0,5.0
1,50,261.85,9.51,4.0,1.8,Car,50.0,5.0
1,51,275.79,9.51,4.0,1.8,Car,50.0,5.0
1,52,286.77,9.51,4.0,1.8,Car,50.0,5.0
1,53,300.99,9.51,4.0,1.8,Car,50.0,5.0
1,54,306.88,9.51,4.0,1.8,Car,50.0,5.0
1,55,313.84,9.51,4.0,1.8,Car,50.0,5.0
